Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-69,1435849306565,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-77,1435849306565,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-73,1435849307584,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-77,1435849307584,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-73,1435849308663,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-77,1435849308663,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849309673,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849309673,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849310750,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849310750,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849311761,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849311761,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849312843,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849312843,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849313855,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849313855,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849314925,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849314925,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,unknown,unknown,-1,-75,1435849315938,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,unknown,unknown,-1,-79,1435849315938,Anna,1435845964,449805108
1,57875,,26627,250,99,ServiceLog,2G,EDGE,-1,-75,1435849316972,Anna,1435845964,449805108
250-99-26627-57875,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849316972,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-51,1435849317982,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849317982,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-51,1435849319020,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849319020,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-55,1435849320032,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849320032,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-55,1435849321111,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849321111,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-83,1435849322122,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849322122,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-83,1435849323199,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849323199,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-75,1435849324209,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849324209,Anna,1435845964,449805108
1,800,1341,7788,250,2,Тимирязевская 1,2G,EDGE,-1,-75,1435849324416,Anna,1435845964,449805108
250-2-7788-800,57866,1341,26627,250,99,Тимирязевская 1,2G,EDGE,-1,-79,1435849324416,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-75,1435849325284,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849325284,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-53,1435849326294,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849326294,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-53,1435849327366,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849327366,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-65,1435849328388,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849328388,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-65,1435849329462,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849329462,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-63,1435849330474,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849330474,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-63,1435849331547,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849331547,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-65,1435849332559,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849332559,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-65,1435849333642,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849333642,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-67,1435849334654,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849334654,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-67,1435849335734,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849335734,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-71,1435849336746,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849336746,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-71,1435849337819,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849337819,Anna,1435845964,449805108
1,800,,7788,250,2,ServiceLog,2G,EDGE,-1,-67,1435849338830,Anna,1435845964,449805108
250-2-7788-800,57866,,26627,250,99,ServiceLog,2G,EDGE,-1,-79,1435849338830,Anna,1435845964,449805108
1,800,1342,7788,250,2,Тимирязевская 2,2G,EDGE,-1,-67,1435849339340,Anna,1435845964,449805108
250-2-7788-800,57866,1342,26627,250,99,Тимирязевская 2,2G,EDGE,-1,-79,1435849339340,Anna,1435845964,449805108
